author_cell_type	cell_type	cell_type_uri
Vip	vip GABAergic cortical interneuron	CL:4023016
Pvalb	pvalb GABAergic cortical interneuron	CL:4023018
Sst	sst GABAergic cortical interneuron	CL:4023017
Lamp5	lamp5 GABAergic cortical interneuron	CL:4023011
Sncg	sncg GABAergic cortical interneuron	CL:4023015
Prog/IP	neural stem cell	CL:0000047
Sst_Cbln4	sst GABAergic cortical interneuron	CL:4023017
L5 IT	L4/5 intratelencephalic projecting glutamatergic neuron	CL:4030062
L2/3 IT	L2/3 intratelencephalic projecting glutamatergic neuron	CL:4030059
L6 CT	L6 corticothalamic-projecting glutamatergic cortical neuron	CL:4023042
L6 IT	L6 intratelencephalic projecting glutamatergic neuron	CL:4030065
L5/6 NP	L5/6 near-projecting glutamatergic neuron	CL:4030067
L5 ET	L5 extratelencephalic projecting glutamatergic cortical neuron	CL:0000679
L6b	L6b glutamatergic cortical neuron	CL:4023038
SUB-ProS	subiculum-prosubiculum hippocampal neuron	
L4	L4/5 intratelencephalic projecting glutamatergic neuron	CL:4030062
Astro	astrocyte	CL:0000127
astrocyte	astrocyte	CL:0000127
CR	Cajal-Retzius cell	CL:0000695
Car3	L6 intratelencephalic projecting Car3 glutamatergic neuron	CL:4030068
CT SUB	corticothalamic-projecting glutamatergic cortical neuron	CL:4023013
Endo	endothelial cell	CL:0000115
endothelial cell	endothelial cell	CL:0000115
ependymal cell	ependymal cell	CL:0000065
DG	dentate gyrus hippocampal neuron	
CA3	CA3 hippocampal neuron	
CA2-IG-FC	CA2-IG-FC hippocampal neuron	
L3 IT ENT	L2/3 intratelencephalic projecting glutamatergic neuron	CL:4030059
L2/3 IT CTX	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L2/3 IT PPP	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L2/3 IT ENTl	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L2 IT ENTl	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L2 IT ENTm	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L2/3 IT RHP	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L4/5 IT CTX	L4/5 intratelencephalic projecting glutamatergic neuron	CL:4030062
L5 IT CTX	L4/5 intratelencephalic projecting glutamatergic neuron	CL:4030062
L5 PT CTX	L5 extratelencephalic projecting glutamatergic cortical neuron	CL:0000679
L5/6 IT TPE-ENT	L2/3-6 intratelencephalic projecting glutamatergic neuron	CL:4023040
L5 PPP	L5 extratelencephalic projecting glutamatergic cortical neuron	CL:0000679
L5/6 NP CTX	L5/6 near-projecting glutamatergic neuron	CL:4030067
NP PPP	near-projecting glutamatergic cortical neuron	CL:4030067
NP SUB	near-projecting glutamatergic cortical neuron	CL:4030067
L6 CT CTX	L6 corticothalamic-projecting glutamatergic cortical neuron	CL:4023042
L6 IT CTX	L6 intratelencephalic projecting glutamatergic neuron	CL:4030065
L6 IT ENTl	L6 intratelencephalic projecting glutamatergic neuron	CL:4030065
L6b/CT ENT	L6b glutamatergic cortical neuron	CL:4023038
L6b CTX	L6b glutamatergic cortical neuron	CL:4023038
Lamp5	lamp5 GABAergic cortical interneuron	CL:4023011
VLMC	vascular leptomeningeal cell	CL:4023051
Macrophage	central nervous system macrophage	CL:0000878
Micro-PVM	central nervous system macrophage	CL:0000878
macrophage	central nervous system macrophage	CL:0000878
microglial cell	microglial cell	CL:0000129
Homeostatic1	microglial cell	CL:0000129
Homeostatic2	microglial cell	CL:0000129
WAM	microglial cell	CL:0000129
Activated	microglial cell	CL:0000129
IRM	microglial cell	CL:0000129
Micro	microglial cell	CL:0000129
neural stem cell	neural stem cell	CL:0000047
neuroepithelial stem cell	neuroepithelial stem cell	CL:0002259
Oligo	oligodendrocyte	CL:0000128
oligodendrocyte	oligodendrocyte	CL:0000128
Oligo1a	oligodendrocyte	CL:0000128
Oligo2b	oligodendrocyte	CL:0000128
Oligo1c	oligodendrocyte	CL:0000128
Oligo1b	oligodendrocyte	CL:0000128
ARO	oligodendrocyte	CL:0000128
Oligo2a	oligodendrocyte	CL:0000128
Oligodendrocyte	oligodendrocyte	CL:0000128
IRO	oligodendrocyte	CL:0000128
OPC	oligodendrocyte precursor cell	CL:0002453
oligodendrocyte precursor cell	oligodendrocyte precursor cell	CL:0002453
Peri	pericyte	CL:0000669
brain pericyte	pericyte	CL:0000669
SMC-Peri	pericyte	CL:0000669
Pvalb	pvalb GABAergic cortical interneuron	CL:4023018
CA1-ProS	CA1-prosubiculum hippocampal neuron	
L4 RSP-ACA	L4 RSP-ACA glutamatergic neuron	
SMC	smooth muscle cell	CL:0000192
Sncg	sncg GABAergic cortical interneuron	CL:4023015
Sst	sst GABAergic cortical interneuron	CL:4023017
Sst Chodl	sst chodl GABAergic cortical interneuron	CL:4023121
CD8-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	CL:0000625
T cell	T cell	CL:0000084
mature NK T cell	mature NK T cell	CL:0000814
Vip	vip GABAergic cortical interneuron	CL:4023016
VLMC	vascular leptomeningeal cell	CL:4023051